,batch,epoch,learning_rate,mse,correlation,pvalue
82,16404,1,1e-06,2.283053159713745,-0.2752795237080872,5.43758450247219e-72
83,16404,1,1e-07,2.161275625228882,-0.3727266996726033,6.49743782784529e-135
84,16404,3,0.0001,0.823422908782959,-0.16990289536542222,7.464052233667223e-28
85,16404,3,1e-05,0.13166286051273346,0.345257244742763,8.69145011141991e-115
86,16404,3,1e-06,1.030560851097107,0.35615492509353597,1.5565509677011382e-122
87,16404,3,1e-07,2.208407163619995,-0.37710288490842847,2.6304953915702954e-138
88,16404,5,0.0001,0.1232839897274971,0.19534028649192908,1.922776215700335e-36
89,16404,5,1e-05,2.670297384262085,0.3989585377611245,4.740530759506602e-156
90,16404,5,1e-06,0.4973413050174713,-0.40337231198046475,8.43937251425805e-160
91,16404,5,1e-07,1.1621774435043335,-0.30430003928731864,2.4904493359714443e-88
92,16404,7,0.0001,0.2429223209619522,-0.29570194169086894,2.7463668256734816e-83
93,16404,7,1e-05,0.31527817249298096,0.2743181460688402,1.7539341369091828e-71
94,16404,7,1e-06,0.2762995958328247,0.3128385488516549,1.6474113026270142e-93
95,16404,7,1e-07,1.4721453189849854,0.2089656213623771,1.4411626672761113e-41
96,16404,9,0.0001,0.1761658489704132,-0.009064686338120555,0.5623140652923341
97,16404,9,1e-05,2.5774335861206055,-0.3888568993039189,1.1094959246653704e-147
98,16404,9,1e-06,0.1445872038602829,0.23960546267384433,1.8023786020342928e-54
99,16404,9,1e-07,1.0596166849136353,0.408318222497377,4.5357457945574574e-164
