,batch,epoch,learning_rate,mse,correlation,pvalue
0,1,1,0.1,,,
1,1,1,0.01,0.04396527633070946,0.2567498340271887,1.3642298000592594e-62
2,1,1,0.001,0.04464087635278702,0.16360205427699195,6.153012677946422e-26
3,1,1,0.0001,0.04732692241668701,0.2619585277859764,3.58296139662243e-65
4,1,3,0.1,,,
5,1,3,0.01,0.044600531458854675,0.21105243086124345,2.0466153717509973e-42
6,1,3,0.001,0.04407341033220291,0.23226329840425397,3.077290123926048e-51
7,1,3,0.0001,0.04677977040410042,0.14334008797431766,3.1721178218468063e-20
8,1,5,0.1,,,
9,1,5,0.01,0.04469135403633118,0.2150224662186488,5.366333481772926e-44
10,1,5,0.001,0.04420876130461693,0.2287241719021239,1.0584965717616046e-49
11,1,5,0.0001,0.0463331937789917,0.15666423385948314,6.798511784099632e-24
12,1,7,0.1,,,
13,1,7,0.01,0.04821588471531868,0.14959072383295238,6.634059833146584e-22
14,1,7,0.001,0.04409519582986832,0.23320940928283232,1.183033799391646e-51
15,1,7,0.0001,0.04570910334587097,0.12398707450681332,1.7395441683321894e-15
16,1,9,0.1,,,
17,1,9,0.01,0.047160375863313675,0.06842816148461224,1.18393144713961e-05
18,1,9,0.001,0.04412860423326492,0.25642121717056543,1.975729325340134e-62
19,1,9,0.0001,0.04471036419272423,0.18326884936252774,3.1250035807673255e-32
20,32,1,0.1,,,
21,32,1,0.01,0.04687495529651642,0.09128841651194985,4.935755878763637e-09
22,32,1,0.001,0.05377352610230446,-0.04477585835837003,0.004177120004857639
23,32,1,0.0001,0.053317487239837646,0.11566966947420405,1.1624056017048917e-13
24,32,3,0.1,,,
25,32,3,0.01,0.045889366418123245,0.14341186841993395,3.03722576969361e-20
26,32,3,0.001,0.04958481341600418,0.14273088283678328,4.582805692275505e-20
27,32,3,0.0001,0.061115846037864685,0.05098719747052149,0.0011050679809431897
28,32,5,0.1,,,
29,32,5,0.01,0.044203925877809525,0.19438484261589917,4.0197977974587e-36
30,32,5,0.001,0.047130364924669266,0.13683991626060735,1.4808330717925725e-18
31,32,5,0.0001,0.05264006555080414,-0.04887421350906976,0.0017662797478940958
32,32,7,0.1,,,
33,32,7,0.01,0.04431252181529999,0.21076113273804245,2.6656909574772142e-42
